variable,field,mae,rmse,bias,corr_with_hr
thetao,lr,0.45515260100364685,2.1376819610595703,-0.18154704570770264,0.9829962219187018
thetao,mu_cno,0.24670544266700745,0.42909422516822815,-0.003385752672329545,0.9993106512178974
thetao,pred_cno_fm,0.2924419939517975,0.4725841283798218,-0.001179325277917087,0.999163926270271
thetao,fm_residual_vs_target,0.2924420237541199,0.4725841283798218,-0.0011793257435783744,0.06510950896397795
so,lr,0.99826979637146,5.382566928863525,-0.8929910659790039,0.46301056125499995
so,mu_cno,0.11397340893745422,0.2732469141483307,0.0008872912731021643,0.9923795059793288
so,pred_cno_fm,0.13741861283779144,0.2997906804084778,-0.0015557000879198313,0.9908164202634671
so,fm_residual_vs_target,0.13741861283779144,0.2997906804084778,-0.001555701601319015,0.012186191546388859
zos,lr,0.04098334163427353,0.12737467885017395,0.00841004028916359,0.9844549501323243
zos,mu_cno,0.013430736027657986,0.023842019960284233,-0.0005556967807933688,0.9994573790161089
zos,pred_cno_fm,0.01584143377840519,0.026392683386802673,-0.000528699834831059,0.9993349469516793
zos,fm_residual_vs_target,0.01584143377840519,0.026392683386802673,-0.0005286999512463808,0.06724277160011295
uo,lr,0.06644530594348907,0.10567168146371841,0.00023028119176160544,0.8410075345977311
uo,mu_cno,0.04570959508419037,0.07056046277284622,-0.0006685559055767953,0.9308026070861138
uo,pred_cno_fm,0.05763601139187813,0.08625327795743942,0.0002500578702893108,0.8972031605535558
uo,fm_residual_vs_target,0.05763601139187813,0.08625327795743942,0.0002500578702893108,0.0023943072082916435
vo,lr,0.06161966174840927,0.10022047907114029,8.326966053573415e-05,0.7626735051065388
vo,mu_cno,0.0413704589009285,0.06421395391225815,-6.95383278070949e-05,0.9047252028900306
vo,pred_cno_fm,0.05233289673924446,0.07880281656980515,0.0005187295028008521,0.85752813958407
vo,fm_residual_vs_target,0.05233289673924446,0.07880281656980515,0.0005187294445931911,0.008345623801652284
