variable,field,mae,rmse,bias,corr_with_hr
thetao,lr,0.48046576976776123,2.312746286392212,-0.2114565372467041,0.9803066766956889
thetao,mu_cno,0.2396990954875946,0.4082549810409546,-0.00021501204173546284,0.9993811394281631
thetao,pred_cno_fm,0.2897964417934418,0.46064576506614685,0.0033513917587697506,0.999212195584638
thetao,fm_residual_vs_target,0.2897964417934418,0.46064576506614685,0.003351392224431038,0.05070365217734658
so,lr,0.986031174659729,5.287911415100098,-0.8752260804176331,0.5136914380441595
so,mu_cno,0.12029816210269928,0.30401936173439026,0.0016093113226816058,0.9927360408795843
so,pred_cno_fm,0.14675763249397278,0.33867794275283813,-0.0009024731698445976,0.9909736776599872
so,fm_residual_vs_target,0.14675763249397278,0.33867794275283813,-0.0009024727041833103,0.0025902013420829304
zos,lr,0.04008602350950241,0.12323444336652756,0.007293093483895063,0.9855599015413822
zos,mu_cno,0.013838950544595718,0.0242853332310915,-0.00043519787141121924,0.9994413502024501
zos,pred_cno_fm,0.016397003084421158,0.02710631862282753,-0.0003358147223480046,0.9993038956819921
zos,fm_residual_vs_target,0.016397003084421158,0.02710631862282753,-0.0003358147223480046,0.057502269443282225
uo,lr,0.06921391189098358,0.11030939221382141,-6.944609776837751e-05,0.8265341458965716
uo,mu_cno,0.04790085181593895,0.07317577302455902,-0.0006387883331626654,0.9255456005365007
uo,pred_cno_fm,0.060020897537469864,0.08941590785980225,0.0002808021381497383,0.8894889549802966
uo,fm_residual_vs_target,0.060020897537469864,0.08941590785980225,0.0002808021381497383,-0.00607045693760605
vo,lr,0.06485860049724579,0.10522971302270889,4.917586556985043e-05,0.7663873952019525
vo,mu_cno,0.04422277584671974,0.06815468519926071,-0.00029401807114481926,0.9032041103592383
vo,pred_cno_fm,0.05520482361316681,0.08286772668361664,0.0003112268168479204,0.8580420300167467
vo,fm_residual_vs_target,0.05520482361316681,0.08286772668361664,0.00031122672953642905,-0.0006292801216121062
