variable,field,mae,rmse,bias,corr_with_hr
thetao,lr,0.5090956091880798,2.321214437484741,-0.2079572230577469,0.9803233993123784
thetao,mu_cno,0.26092198491096497,0.4792984426021576,-0.00020769209368154407,0.9991547975742064
thetao,pred_cno_fm,0.3086559772491455,0.5213316679000854,0.0032998856622725725,0.999000029768234
thetao,fm_residual_vs_target,0.3086559772491455,0.5213316679000854,0.0032998856622725725,0.05150004130697123
so,lr,0.997594952583313,5.315132141113281,-0.8808451294898987,0.5067628857970137
so,mu_cno,0.12684302031993866,0.3388051688671112,0.0015834099613130093,0.9912477211372146
so,pred_cno_fm,0.15212373435497284,0.3688344359397888,-0.0007845840882509947,0.9896091460299994
so,fm_residual_vs_target,0.15212374925613403,0.3688344359397888,-0.0007845835061743855,0.0027481091030909406
zos,lr,0.04029352217912674,0.12434183061122894,0.008164570666849613,0.9853008953103485
zos,mu_cno,0.013107755221426487,0.022742249071598053,-0.0003723957051988691,0.9995098332607724
zos,pred_cno_fm,0.01558707095682621,0.025510573759675026,-0.00033568101935088634,0.9993831821998469
zos,fm_residual_vs_target,0.015587070025503635,0.025510573759675026,-0.0003356811066623777,0.07096580514283518
uo,lr,0.06668893992900848,0.10880392044782639,-9.734727063914761e-05,0.8351364877708881
uo,mu_cno,0.045301470905542374,0.07067929208278656,-0.0006763458368368447,0.9319210859698642
uo,pred_cno_fm,0.05712364241480827,0.08633601665496826,0.0002459955576341599,0.8988289029726574
uo,fm_residual_vs_target,0.05712364241480827,0.08633601665496826,0.0002459955576341599,0.011994880231831788
vo,lr,0.0619342215359211,0.10265721380710602,-0.00019225117284804583,0.7523066672365124
vo,mu_cno,0.041353896260261536,0.06463388353586197,-0.0002347933768760413,0.9045543597862254
vo,pred_cno_fm,0.05239051952958107,0.07959895581007004,0.0003996677987743169,0.856512187670585
vo,fm_residual_vs_target,0.05239051952958107,0.07959895581007004,0.0003996677987743169,0.0007162589912783953
